trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
161,False,"{'a': 0.5, 'e': 0.4470879265593564}",30,18,-24.978674886668124,"{0: 9, 1: 0, 2: 2, 3: 1, 4: 0}",1
162,False,"{'a': 0.5, 'e': 0.4448580662229411}",20,11,-58.75339372323973,"{0: 5, 1: 0, 2: 3, 3: 0, 4: 1}",1
163,False,"{'a': 0.5, 'e': 0.4426393273613511}",25,20,7.576355559208853,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
164,False,"{'a': 0.5, 'e': 0.44043165450599925}",25,0,-0.10904698156763382,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",0
165,False,"{'a': 0.5, 'e': 0.4382349924649492}",25,0,-31.057836514679536,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
166,False,"{'a': 0.5, 'e': 0.43604928632153556}",20,0,-55.57798155052236,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
167,False,"{'a': 0.5, 'e': 0.4338744814329909}",20,0,-184.59430782981767,"{0: 12, 1: 1, 2: 2, 3: 1, 4: 4}",0
168,False,"{'a': 0.5, 'e': 0.43171052342907973}",20,0,-103.8644867857386,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
169,False,"{'a': 0.5, 'e': 0.42955735821073915}",25,5,11.97395902915213,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",1
170,False,"{'a': 0.5, 'e': 0.4274149319487267}",25,8,7.670322677124099,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
171,False,"{'a': 0.5, 'e': 0.42528319108227414}",20,3,-8.6737980741082,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 0}",1
172,False,"{'a': 0.5, 'e': 0.4231620823177488}",20,1,-100.87824699176942,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 2}",1
173,False,"{'a': 0.5, 'e': 0.4210515526273212}",20,10,16.010300076666837,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
174,False,"{'a': 0.5, 'e': 0.418951549247639}",20,7,-5.872359236364197,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 0}",1
175,False,"{'a': 0.5, 'e': 0.4168620196785084}",20,0,-3.8074591007302647,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
176,False,"{'a': 0.5, 'e': 0.4147829116815814}",25,0,-29.883729297142505,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
177,False,"{'a': 0.5, 'e': 0.41271417327904963}",20,0,18.513170986031017,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
178,False,"{'a': 0.5, 'e': 0.4106557527523455}",25,0,-29.445988703390842,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
179,False,"{'a': 0.5, 'e': 0.40860759864084845}",25,13,7.661091554341786,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
180,False,"{'a': 0.5, 'e': 0.4065696597405991}",20,10,-47.22737760342129,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 1}",1
181,False,"{'a': 0.5, 'e': 0.4045418851030188}",25,0,-14.906881049721594,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
182,False,"{'a': 0.5, 'e': 0.40252422403363597}",25,4,-39.33555831756476,"{0: 16, 1: 1, 2: 2, 3: 2, 4: 0}",1
183,False,"{'a': 0.5, 'e': 0.4005166260908188}",30,16,3.204530358812227,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
184,False,"{'a': 0.5, 'e': 0.39851904108451414}",20,0,-38.12624497208386,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
185,False,"{'a': 0.5, 'e': 0.39653141907499284}",20,0,-20.253831832042987,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
186,False,"{'a': 0.5, 'e': 0.3945537103716011}",20,0,7.0820789387295005,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",1
187,False,"{'a': 0.5, 'e': 0.39258586553151836}",20,2,-111.54168596349938,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 3}",1
188,False,"{'a': 0.5, 'e': 0.3906278353585211}",20,0,-10.016937835213861,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
189,False,"{'a': 0.5, 'e': 0.388679570901753}",25,10,21.664295964232668,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
